wave,legislature,segment,pshift,frequency,probability,p_s_given_d,p_s_given_d_c,source_file,change_of_speaker,directed_remark
wave_1,1,1,A0-XA,13,0.16,0.19,0.19,wave_1_legislature_1_segment_1_stats.json,True,False
wave_1,1,1,A0-X0,56,0.68,0.81,0.81,wave_1_legislature_1_segment_1_stats.json,True,False
wave_1,1,1,A0-XY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,True,False
wave_1,1,1,A0-AY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,False,False
wave_1,1,1,AB-BA,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-B0,12,0.15,0.92,0.92,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-X0,1,0.01,0.08,0.08,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-XA,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-XB,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-A0,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,False,True
wave_1,1,1,AB-BY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-XY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,True,True
wave_1,1,1,AB-AY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_1_stats.json,False,True
wave_1,1,2,A0-XA,19,0.23,0.3,0.3,wave_1_legislature_1_segment_2_stats.json,True,False
wave_1,1,2,A0-X0,45,0.54,0.7,0.7,wave_1_legislature_1_segment_2_stats.json,True,False
wave_1,1,2,A0-XY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,True,False
wave_1,1,2,A0-AY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,False,False
wave_1,1,2,AB-BA,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-B0,14,0.17,0.74,0.88,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-X0,2,0.02,0.11,0.12,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-XA,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-XB,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-A0,3,0.04,0.16,0.0,wave_1_legislature_1_segment_2_stats.json,False,True
wave_1,1,2,AB-BY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-XY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,True,True
wave_1,1,2,AB-AY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_2_stats.json,False,True
wave_1,1,3,A0-XA,14,0.17,0.2,0.2,wave_1_legislature_1_segment_3_stats.json,True,False
wave_1,1,3,A0-X0,56,0.67,0.8,0.8,wave_1_legislature_1_segment_3_stats.json,True,False
wave_1,1,3,A0-XY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,True,False
wave_1,1,3,A0-AY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,False,False
wave_1,1,3,AB-BA,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-B0,11,0.13,0.79,0.85,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-X0,2,0.02,0.14,0.15,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-XA,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-XB,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-A0,1,0.01,0.07,0.0,wave_1_legislature_1_segment_3_stats.json,False,True
wave_1,1,3,AB-BY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-XY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,True,True
wave_1,1,3,AB-AY,0,0.0,0.0,0.0,wave_1_legislature_1_segment_3_stats.json,False,True
wave_1,2,1,A0-XA,12,0.15,0.18,0.18,wave_1_legislature_2_segment_1_stats.json,True,False
wave_1,2,1,A0-X0,54,0.68,0.82,0.82,wave_1_legislature_2_segment_1_stats.json,True,False
wave_1,2,1,A0-XY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,True,False
wave_1,2,1,A0-AY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,False,False
wave_1,2,1,AB-BA,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-B0,6,0.08,0.43,0.5,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-X0,5,0.06,0.36,0.42,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-XA,1,0.01,0.07,0.08,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-XB,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-A0,2,0.02,0.14,0.0,wave_1_legislature_2_segment_1_stats.json,False,True
wave_1,2,1,AB-BY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-XY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,True,True
wave_1,2,1,AB-AY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_1_stats.json,False,True
wave_1,2,2,A0-XA,16,0.2,0.24,0.24,wave_1_legislature_2_segment_2_stats.json,True,False
wave_1,2,2,A0-X0,52,0.63,0.76,0.76,wave_1_legislature_2_segment_2_stats.json,True,False
wave_1,2,2,A0-XY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,True,False
wave_1,2,2,A0-AY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,False,False
wave_1,2,2,AB-BA,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,True,True
wave_1,2,2,AB-B0,11,0.13,0.79,0.79,wave_1_legislature_2_segment_2_stats.json,True,True
wave_1,2,2,AB-X0,3,0.04,0.21,0.21,wave_1_legislature_2_segment_2_stats.json,True,True
wave_1,2,2,AB-XA,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,True,True
wave_1,2,2,AB-XB,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,True,True
wave_1,2,2,AB-A0,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,False,True
wave_1,2,2,AB-BY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,True,True
wave_1,2,2,AB-XY,0,0.0,0.0,0.0,wave_1_legislature_2_segment_2_stats.json,True,True
