dataset,legislature,sample,segment,pshift,shift_class,frequency,probability,source_file,change_of_speaker,directed_remark,p_s_given_d,p_s_given_d_c
final_dataset,1,1,1,A0-XA,Turn Claiming,13,0.16,legislature_1_sample_1_segment_1_stats.json,True,False,0.19,0.19
final_dataset,1,1,1,A0-X0,Turn Claiming,56,0.68,legislature_1_sample_1_segment_1_stats.json,True,False,0.81,0.81
final_dataset,1,1,1,A0-XY,Turn Claiming,0,0.0,legislature_1_sample_1_segment_1_stats.json,True,False,0.0,0.0
final_dataset,1,1,1,A0-AY,Turn Continuing,0,0.0,legislature_1_sample_1_segment_1_stats.json,False,False,0.0,0.0
final_dataset,1,1,1,AB-BA,Turn Receiving,0,0.0,legislature_1_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,1,1,AB-B0,Turn Receiving,12,0.15,legislature_1_sample_1_segment_1_stats.json,True,True,0.92,0.92
final_dataset,1,1,1,AB-X0,Turn Usurping,1,0.01,legislature_1_sample_1_segment_1_stats.json,True,True,0.08,0.08
final_dataset,1,1,1,AB-XA,Turn Usurping,0,0.0,legislature_1_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,1,1,AB-XB,Turn Usurping,0,0.0,legislature_1_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,1,1,AB-A0,Turn Continuing,0,0.0,legislature_1_sample_1_segment_1_stats.json,False,True,0.0,0.0
final_dataset,1,1,1,AB-BY,Turn Receiving,0,0.0,legislature_1_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,1,1,AB-XY,Turn Usurping,0,0.0,legislature_1_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,1,1,AB-AY,Turn Continuing,0,0.0,legislature_1_sample_1_segment_1_stats.json,False,True,0.0,0.0
final_dataset,1,1,2,A0-XA,Turn Claiming,19,0.23,legislature_1_sample_1_segment_2_stats.json,True,False,0.3,0.3
final_dataset,1,1,2,A0-X0,Turn Claiming,45,0.54,legislature_1_sample_1_segment_2_stats.json,True,False,0.7,0.7
final_dataset,1,1,2,A0-XY,Turn Claiming,0,0.0,legislature_1_sample_1_segment_2_stats.json,True,False,0.0,0.0
