wave,legislature,segment,frequency,probability,dominant_pshift
wave_1,1,1,56,0.68,A0-X0
wave_1,1,2,45,0.54,A0-X0
wave_1,1,3,56,0.67,A0-X0
wave_1,2,1,54,0.68,A0-X0
wave_1,2,2,52,0.63,A0-X0
wave_1,2,3,62,0.75,A0-X0
wave_1,3,1,78,0.95,A0-X0
wave_1,3,2,78,0.93,A0-X0
wave_1,3,3,72,0.86,A0-X0
wave_1,4,1,26,0.43,A0-X0
wave_1,4,2,38,0.61,A0-X0
wave_1,4,3,34,0.55,A0-X0
wave_1,5,1,66,0.87,A0-X0
wave_1,5,2,67,0.87,A0-X0
wave_1,5,3,66,0.85,A0-X0
wave_1,6,1,48,0.69,A0-X0
wave_1,6,2,52,0.73,A0-X0
wave_1,6,3,45,0.63,A0-X0
wave_1,7,1,44,0.5,A0-X0
wave_1,7,2,66,0.73,A0-X0
wave_1,7,3,57,0.63,A0-X0
wave_1,8,1,63,0.61,A0-X0
wave_1,8,2,59,0.56,A0-X0
wave_1,8,3,53,0.5,A0-X0
wave_1,9,1,63,0.51,A0-X0
wave_1,9,2,86,0.69,A0-X0
wave_1,9,3,68,0.54,A0-X0
wave_1,10,1,53,0.52,A0-X0
wave_1,10,2,56,0.54,A0-X0
wave_1,10,3,59,0.57,A0-X0
wave_1,11,1,60,0.66,A0-X0
wave_1,11,2,74,0.8,A0-X0
wave_1,11,3,71,0.76,A0-X0
wave_1,12,1,67,0.74,A0-X0
wave_1,12,2,57,0.62,A0-X0
wave_1,12,3,82,0.89,A0-X0
wave_1,13,1,64,0.8,A0-X0
wave_1,13,2,58,0.72,A0-X0
wave_1,13,3,72,0.89,A0-X0
wave_1,14,1,73,0.9,A0-X0
wave_1,14,2,81,0.98,A0-X0
wave_1,14,3,75,0.9,A0-X0
wave_2,1,1,41,0.51,A0-X0
wave_2,1,2,50,0.62,A0-X0
wave_2,1,3,51,0.63,A0-X0
wave_2,2,1,33,0.41,AB-BA
wave_2,2,2,32,0.39,AB-BA
wave_2,2,3,26,0.31,AB-BA
wave_2,3,1,42,0.48,AB-BA
wave_2,3,2,30,0.34,A0-XA
wave_2,3,3,46,0.51,AB-BA
wave_2,4,1,28,0.42,AB-BA
wave_2,4,2,26,0.38,A0-XA
wave_2,4,3,25,0.37,A0-X0
wave_2,5,1,22,0.29,AB-BA
wave_2,5,2,23,0.3,A0-XA
wave_2,5,3,21,0.27,AB-BA
wave_2,6,1,25,0.35,A0-XA
wave_2,6,2,19,0.26,AB-BA
wave_2,6,3,23,0.32,AB-BA
wave_2,7,1,24,0.26,A0-X0
wave_2,7,2,24,0.26,A0-XA
wave_2,7,3,25,0.27,A0-XA
wave_2,8,1,34,0.33,AB-XA
wave_2,8,2,32,0.31,A0-XA
wave_2,8,3,27,0.26,A0-X0
wave_2,9,1,37,0.3,AB-XA
wave_2,9,2,46,0.36,AB-XA
wave_2,9,3,39,0.31,A0-XA
wave_2,10,1,46,0.45,AB-XA
wave_2,10,2,55,0.53,AB-XA
wave_2,10,3,45,0.44,AB-XA
wave_2,11,1,34,0.37,A0-XA
wave_2,11,2,23,0.25,A0-XA
wave_2,11,3,26,0.28,AB-BA
wave_2,12,1,46,0.51,AB-XA
wave_2,12,2,57,0.62,AB-XA
wave_2,12,3,23,0.25,A0-XA
wave_2,13,1,34,0.42,A0-XA
wave_2,13,2,24,0.3,A0-XA
wave_2,13,3,27,0.33,AB-B0
wave_2,14,1,59,0.77,A0-X0
wave_2,14,2,46,0.58,A0-X0
wave_2,14,3,45,0.57,A0-X0
