dataset,legislature,pshift,shift_class,global_probability,total_frequency,total_transitions,avg_probability,avg_p_s_given_d,avg_p_s_given_d_c
final_dataset,1,A0-X0,Turn Claiming,0.6089613034623218,299,491,0.6083333333333334,0.7566666666666667,0.7566666666666667
final_dataset,1,A0-XA,Turn Claiming,0.19144602851323828,94,491,0.19333333333333336,0.24333333333333332,0.24333333333333332
final_dataset,1,AB-B0,Turn Receiving,0.12627291242362526,62,491,0.12666666666666668,0.6366666666666667,0.6699999999999999
final_dataset,1,AB-X0,Turn Usurping,0.048879837067209775,24,491,0.04666666666666667,0.25,0.25333333333333335
final_dataset,1,AB-XA,Turn Usurping,0.010183299389002037,5,491,0.01,0.049999999999999996,0.049999999999999996
final_dataset,1,AB-A0,Turn Continuing,0.008146639511201629,4,491,0.008333333333333333,0.03833333333333334,0.0
final_dataset,1,AB-BA,Turn Receiving,0.006109979633401222,3,491,0.005,0.02666666666666667,0.02666666666666667
final_dataset,1,A0-AY,Turn Continuing,0.0,0,491,0.0,0.0,0.0
final_dataset,1,A0-XY,Turn Claiming,0.0,0,491,0.0,0.0,0.0
final_dataset,1,AB-AY,Turn Continuing,0.0,0,491,0.0,0.0,0.0
final_dataset,1,AB-BY,Turn Receiving,0.0,0,491,0.0,0.0,0.0
final_dataset,1,AB-XB,Turn Usurping,0.0,0,491,0.0,0.0,0.0
final_dataset,1,AB-XY,Turn Usurping,0.0,0,491,0.0,0.0,0.0
final_dataset,2,A0-X0,Turn Claiming,0.40040650406504064,197,492,0.4033333333333333,0.5983333333333333,0.5983333333333333
final_dataset,2,AB-BA,Turn Receiving,0.18495934959349594,91,492,0.18499999999999997,0.25666666666666665,0.25666666666666665
final_dataset,2,A0-XA,Turn Claiming,0.16056910569105692,79,492,0.16,0.40166666666666667,0.40166666666666667
final_dataset,2,AB-B0,Turn Receiving,0.1016260162601626,50,492,0.10000000000000002,0.37000000000000005,0.40166666666666667
final_dataset,2,AB-XA,Turn Usurping,0.07723577235772358,38,492,0.075,0.11666666666666668,0.11833333333333335
final_dataset,2,AB-X0,Turn Usurping,0.06707317073170732,33,492,0.06833333333333334,0.20333333333333334,0.22333333333333336
final_dataset,2,AB-A0,Turn Continuing,0.008130081300813009,4,492,0.006666666666666667,0.05333333333333334,0.0
final_dataset,2,A0-AY,Turn Continuing,0.0,0,492,0.0,0.0,0.0
final_dataset,2,A0-XY,Turn Claiming,0.0,0,492,0.0,0.0,0.0
final_dataset,2,AB-AY,Turn Continuing,0.0,0,492,0.0,0.0,0.0
final_dataset,2,AB-BY,Turn Receiving,0.0,0,492,0.0,0.0,0.0
final_dataset,2,AB-XB,Turn Usurping,0.0,0,492,0.0,0.0,0.0
final_dataset,2,AB-XY,Turn Usurping,0.0,0,492,0.0,0.0,0.0
final_dataset,3,A0-X0,Turn Claiming,0.4584139264990329,237,517,0.4716666666666667,0.5516666666666666,0.5516666666666666
final_dataset,3,AB-BA,Turn Receiving,0.20889748549323017,108,517,0.20166666666666666,0.26499999999999996,0.26499999999999996
final_dataset,3,A0-XA,Turn Claiming,0.13539651837524178,70,517,0.13166666666666668,0.4483333333333333,0.4483333333333333
final_dataset,3,AB-B0,Turn Receiving,0.10638297872340426,55,517,0.10333333333333333,0.4083333333333334,0.4083333333333334
final_dataset,3,AB-XA,Turn Usurping,0.061895551257253385,32,517,0.06,0.08166666666666667,0.08166666666666667
final_dataset,3,AB-X0,Turn Usurping,0.029013539651837523,15,517,0.028333333333333335,0.24833333333333332,0.24833333333333332
final_dataset,3,A0-AY,Turn Continuing,0.0,0,517,0.0,0.0,0.0
final_dataset,3,A0-XY,Turn Claiming,0.0,0,517,0.0,0.0,0.0
final_dataset,3,AB-A0,Turn Continuing,0.0,0,517,0.0,0.0,0.0
final_dataset,3,AB-AY,Turn Continuing,0.0,0,517,0.0,0.0,0.0
final_dataset,3,AB-BY,Turn Receiving,0.0,0,517,0.0,0.0,0.0
final_dataset,3,AB-XB,Turn Usurping,0.0,0,517,0.0,0.0,0.0
final_dataset,3,AB-XY,Turn Usurping,0.0,0,517,0.0,0.0,0.0
final_dataset,4,A0-X0,Turn Claiming,0.3462532299741602,134,387,0.355,0.545,0.545
final_dataset,4,A0-XA,Turn Claiming,0.23772609819121446,92,387,0.2383333333333333,0.455,0.455
final_dataset,4,AB-B0,Turn Receiving,0.16020671834625322,62,387,0.16,0.4916666666666667,0.5033333333333333
final_dataset,4,AB-BA,Turn Receiving,0.1343669250645995,52,387,0.13,0.21833333333333335,0.22
final_dataset,4,AB-XA,Turn Usurping,0.07751937984496124,30,387,0.07666666666666667,0.13833333333333334,0.13999999999999999
final_dataset,4,AB-X0,Turn Usurping,0.03875968992248062,15,387,0.03833333333333334,0.13166666666666668,0.1366666666666667
final_dataset,4,AB-A0,Turn Continuing,0.00516795865633075,2,387,0.005,0.016666666666666666,0.0
final_dataset,4,A0-AY,Turn Continuing,0.0,0,387,0.0,0.0,0.0
final_dataset,4,A0-XY,Turn Claiming,0.0,0,387,0.0,0.0,0.0
final_dataset,4,AB-AY,Turn Continuing,0.0,0,387,0.0,0.0,0.0
final_dataset,4,AB-BY,Turn Receiving,0.0,0,387,0.0,0.0,0.0
final_dataset,4,AB-XB,Turn Usurping,0.0,0,387,0.0,0.0,0.0
final_dataset,4,AB-XY,Turn Usurping,0.0,0,387,0.0,0.0,0.0
final_dataset,5,A0-X0,Turn Claiming,0.5032537960954447,232,461,0.5033333333333333,0.645,0.645
final_dataset,5,A0-XA,Turn Claiming,0.1561822125813449,72,461,0.15666666666666665,0.355,0.355
final_dataset,5,AB-BA,Turn Receiving,0.13232104121475055,61,461,0.13166666666666668,0.21833333333333335,0.21833333333333335
final_dataset,5,AB-B0,Turn Receiving,0.0824295010845987,38,461,0.08166666666666668,0.265,0.265
final_dataset,5,AB-X0,Turn Usurping,0.07592190889370933,35,461,0.075,0.435,0.435
final_dataset,5,AB-XA,Turn Usurping,0.049891540130151846,23,461,0.049999999999999996,0.08,0.08
final_dataset,5,A0-AY,Turn Continuing,0.0,0,461,0.0,0.0,0.0
final_dataset,5,A0-XY,Turn Claiming,0.0,0,461,0.0,0.0,0.0
final_dataset,5,AB-A0,Turn Continuing,0.0,0,461,0.0,0.0,0.0
final_dataset,5,AB-AY,Turn Continuing,0.0,0,461,0.0,0.0,0.0
final_dataset,5,AB-BY,Turn Receiving,0.0,0,461,0.0,0.0,0.0
final_dataset,5,AB-XB,Turn Usurping,0.0,0,461,0.0,0.0,0.0
final_dataset,5,AB-XY,Turn Usurping,0.0,0,461,0.0,0.0,0.0
final_dataset,6,A0-X0,Turn Claiming,0.4172494172494173,179,429,0.4183333333333333,0.605,0.605
final_dataset,6,A0-XA,Turn Claiming,0.20279720279720279,87,429,0.20166666666666666,0.395,0.395
final_dataset,6,AB-B0,Turn Receiving,0.11888111888111888,51,429,0.12,0.47333333333333333,0.47333333333333333
final_dataset,6,AB-BA,Turn Receiving,0.11888111888111888,51,429,0.11833333333333333,0.19000000000000003,0.19000000000000003
final_dataset,6,AB-XA,Turn Usurping,0.08624708624708624,37,429,0.085,0.14833333333333334,0.14833333333333334
final_dataset,6,AB-X0,Turn Usurping,0.055944055944055944,24,429,0.05666666666666667,0.18666666666666668,0.18666666666666668
final_dataset,6,A0-AY,Turn Continuing,0.0,0,429,0.0,0.0,0.0
final_dataset,6,A0-XY,Turn Claiming,0.0,0,429,0.0,0.0,0.0
final_dataset,6,AB-A0,Turn Continuing,0.0,0,429,0.0,0.0,0.0
final_dataset,6,AB-AY,Turn Continuing,0.0,0,429,0.0,0.0,0.0
final_dataset,6,AB-BY,Turn Receiving,0.0,0,429,0.0,0.0,0.0
final_dataset,6,AB-XB,Turn Usurping,0.0,0,429,0.0,0.0,0.0
final_dataset,6,AB-XY,Turn Usurping,0.0,0,429,0.0,0.0,0.0
final_dataset,7,A0-X0,Turn Claiming,0.41197822141560797,227,551,0.4166666666666667,0.6216666666666667,0.6216666666666667
final_dataset,7,A0-XA,Turn Claiming,0.21234119782214156,117,551,0.21333333333333335,0.37833333333333335,0.37833333333333335
final_dataset,7,AB-B0,Turn Receiving,0.1397459165154265,77,551,0.13999999999999999,0.4683333333333333,0.47500000000000003
final_dataset,7,AB-BA,Turn Receiving,0.0998185117967332,55,551,0.09833333333333334,0.17666666666666667,0.17666666666666667
final_dataset,7,AB-X0,Turn Usurping,0.07259528130671507,40,551,0.07166666666666667,0.22666666666666666,0.2283333333333333
