dataset,legislature,segment,pshift,shift_class,global_probability,total_frequency,total_transitions
final_dataset,1,1,A0-X0,Turn Claiming,0.5987654320987654,97,162
final_dataset,1,1,A0-XA,Turn Claiming,0.19753086419753085,32,162
final_dataset,1,1,AB-B0,Turn Receiving,0.16666666666666666,27,162
final_dataset,1,1,AB-X0,Turn Usurping,0.018518518518518517,3,162
final_dataset,1,1,AB-BA,Turn Receiving,0.012345679012345678,2,162
final_dataset,1,1,AB-XA,Turn Usurping,0.006172839506172839,1,162
final_dataset,1,1,A0-AY,Turn Continuing,0.0,0,162
final_dataset,1,1,A0-XY,Turn Claiming,0.0,0,162
final_dataset,1,1,AB-A0,Turn Continuing,0.0,0,162
final_dataset,1,1,AB-AY,Turn Continuing,0.0,0,162
final_dataset,1,1,AB-BY,Turn Receiving,0.0,0,162
final_dataset,1,1,AB-XB,Turn Usurping,0.0,0,162
final_dataset,1,1,AB-XY,Turn Usurping,0.0,0,162
final_dataset,1,2,A0-X0,Turn Claiming,0.5792682926829268,95,164
final_dataset,1,2,A0-XA,Turn Claiming,0.2073170731707317,34,164
final_dataset,1,2,AB-B0,Turn Receiving,0.13414634146341464,22,164
final_dataset,1,2,AB-X0,Turn Usurping,0.04878048780487805,8,164
final_dataset,1,2,AB-A0,Turn Continuing,0.018292682926829267,3,164
final_dataset,1,2,AB-BA,Turn Receiving,0.006097560975609756,1,164
final_dataset,1,2,AB-XA,Turn Usurping,0.006097560975609756,1,164
final_dataset,1,2,A0-AY,Turn Continuing,0.0,0,164
final_dataset,1,2,A0-XY,Turn Claiming,0.0,0,164
final_dataset,1,2,AB-AY,Turn Continuing,0.0,0,164
final_dataset,1,2,AB-BY,Turn Receiving,0.0,0,164
final_dataset,1,2,AB-XB,Turn Usurping,0.0,0,164
final_dataset,1,2,AB-XY,Turn Usurping,0.0,0,164
final_dataset,1,3,A0-X0,Turn Claiming,0.6484848484848484,107,165
final_dataset,1,3,A0-XA,Turn Claiming,0.1696969696969697,28,165
final_dataset,1,3,AB-B0,Turn Receiving,0.07878787878787878,13,165
final_dataset,1,3,AB-X0,Turn Usurping,0.07878787878787878,13,165
final_dataset,1,3,AB-XA,Turn Usurping,0.01818181818181818,3,165
final_dataset,1,3,AB-A0,Turn Continuing,0.006060606060606061,1,165
final_dataset,1,3,A0-AY,Turn Continuing,0.0,0,165
final_dataset,1,3,A0-XY,Turn Claiming,0.0,0,165
final_dataset,1,3,AB-AY,Turn Continuing,0.0,0,165
final_dataset,1,3,AB-BA,Turn Receiving,0.0,0,165
final_dataset,1,3,AB-BY,Turn Receiving,0.0,0,165
final_dataset,1,3,AB-XB,Turn Usurping,0.0,0,165
final_dataset,1,3,AB-XY,Turn Usurping,0.0,0,165
final_dataset,2,1,A0-X0,Turn Claiming,0.37888198757763975,61,161
final_dataset,2,1,AB-BA,Turn Receiving,0.20496894409937888,33,161
final_dataset,2,1,A0-XA,Turn Claiming,0.15527950310559005,25,161
final_dataset,2,1,AB-XA,Turn Usurping,0.09316770186335403,15,161
final_dataset,2,1,AB-B0,Turn Receiving,0.08695652173913043,14,161
final_dataset,2,1,AB-X0,Turn Usurping,0.06832298136645963,11,161
final_dataset,2,1,AB-A0,Turn Continuing,0.012422360248447204,2,161
final_dataset,2,1,A0-AY,Turn Continuing,0.0,0,161
final_dataset,2,1,A0-XY,Turn Claiming,0.0,0,161
final_dataset,2,1,AB-AY,Turn Continuing,0.0,0,161
final_dataset,2,1,AB-BY,Turn Receiving,0.0,0,161
final_dataset,2,1,AB-XB,Turn Usurping,0.0,0,161
final_dataset,2,1,AB-XY,Turn Usurping,0.0,0,161
final_dataset,2,2,A0-X0,Turn Claiming,0.3393939393939394,56,165
final_dataset,2,2,A0-XA,Turn Claiming,0.19393939393939394,32,165
final_dataset,2,2,AB-BA,Turn Receiving,0.19393939393939394,32,165
final_dataset,2,2,AB-B0,Turn Receiving,0.1393939393939394,23,165
final_dataset,2,2,AB-X0,Turn Usurping,0.06666666666666667,11,165
final_dataset,2,2,AB-XA,Turn Usurping,0.06666666666666667,11,165
final_dataset,2,2,A0-AY,Turn Continuing,0.0,0,165
final_dataset,2,2,A0-XY,Turn Claiming,0.0,0,165
final_dataset,2,2,AB-A0,Turn Continuing,0.0,0,165
final_dataset,2,2,AB-AY,Turn Continuing,0.0,0,165
final_dataset,2,2,AB-BY,Turn Receiving,0.0,0,165
final_dataset,2,2,AB-XB,Turn Usurping,0.0,0,165
final_dataset,2,2,AB-XY,Turn Usurping,0.0,0,165
final_dataset,2,3,A0-X0,Turn Claiming,0.4819277108433735,80,166
final_dataset,2,3,AB-BA,Turn Receiving,0.1566265060240964,26,166
final_dataset,2,3,A0-XA,Turn Claiming,0.13253012048192772,22,166
final_dataset,2,3,AB-B0,Turn Receiving,0.0783132530120482,13,166
final_dataset,2,3,AB-XA,Turn Usurping,0.07228915662650602,12,166
final_dataset,2,3,AB-X0,Turn Usurping,0.06626506024096386,11,166
final_dataset,2,3,AB-A0,Turn Continuing,0.012048192771084338,2,166
final_dataset,2,3,A0-AY,Turn Continuing,0.0,0,166
final_dataset,2,3,A0-XY,Turn Claiming,0.0,0,166
final_dataset,2,3,AB-AY,Turn Continuing,0.0,0,166
final_dataset,2,3,AB-BY,Turn Receiving,0.0,0,166
final_dataset,2,3,AB-XB,Turn Usurping,0.0,0,166
final_dataset,2,3,AB-XY,Turn Usurping,0.0,0,166
final_dataset,3,1,A0-X0,Turn Claiming,0.4764705882352941,81,170
final_dataset,3,1,AB-BA,Turn Receiving,0.24705882352941178,42,170
final_dataset,3,1,A0-XA,Turn Claiming,0.11176470588235295,19,170
final_dataset,3,1,AB-B0,Turn Receiving,0.08235294117647059,14,170
final_dataset,3,1,AB-XA,Turn Usurping,0.07058823529411765,12,170
final_dataset,3,1,AB-X0,Turn Usurping,0.011764705882352941,2,170
final_dataset,3,1,A0-AY,Turn Continuing,0.0,0,170
final_dataset,3,1,A0-XY,Turn Claiming,0.0,0,170
final_dataset,3,1,AB-A0,Turn Continuing,0.0,0,170
final_dataset,3,1,AB-AY,Turn Continuing,0.0,0,170
final_dataset,3,1,AB-BY,Turn Receiving,0.0,0,170
final_dataset,3,1,AB-XB,Turn Usurping,0.0,0,170
final_dataset,3,1,AB-XY,Turn Usurping,0.0,0,170
final_dataset,3,2,A0-X0,Turn Claiming,0.4624277456647399,80,173
final_dataset,3,2,A0-XA,Turn Claiming,0.1907514450867052,33,173
