wave,legislature,pshift,total_frequency,avg_probability,avg_p_s_given_d,avg_p_s_given_d_c
wave_1,1,A0-AY,0,0.0,0.0,0.0
wave_1,1,A0-X0,157,0.63,0.77,0.77
wave_1,1,A0-XA,46,0.18666666666666668,0.22999999999999998,0.22999999999999998
wave_1,1,A0-XY,0,0.0,0.0,0.0
wave_1,1,AB-A0,4,0.016666666666666666,0.07666666666666667,0.0
wave_1,1,AB-AY,0,0.0,0.0,0.0
wave_1,1,AB-B0,37,0.15,0.8166666666666668,0.8833333333333333
wave_1,1,AB-BA,0,0.0,0.0,0.0
wave_1,1,AB-BY,0,0.0,0.0,0.0
wave_1,1,AB-X0,5,0.016666666666666666,0.11,0.11666666666666665
wave_1,1,AB-XA,0,0.0,0.0,0.0
wave_1,1,AB-XB,0,0.0,0.0,0.0
wave_1,1,AB-XY,0,0.0,0.0,0.0
wave_1,2,A0-AY,0,0.0,0.0,0.0
wave_1,2,A0-X0,168,0.6866666666666666,0.8133333333333334,0.8133333333333334
wave_1,2,A0-XA,38,0.15666666666666665,0.18666666666666668,0.18666666666666668
wave_1,2,A0-XY,0,0.0,0.0,0.0
wave_1,2,AB-A0,4,0.013333333333333334,0.10666666666666667,0.0
wave_1,2,AB-AY,0,0.0,0.0,0.0
wave_1,2,AB-B0,23,0.09333333333333334,0.59,0.6533333333333333
wave_1,2,AB-BA,0,0.0,0.0,0.0
wave_1,2,AB-BY,0,0.0,0.0,0.0
wave_1,2,AB-X0,11,0.04666666666666667,0.27999999999999997,0.32
wave_1,2,AB-XA,1,0.0033333333333333335,0.023333333333333334,0.02666666666666667
wave_1,2,AB-XB,0,0.0,0.0,0.0
wave_1,2,AB-XY,0,0.0,0.0,0.0
wave_1,3,A0-AY,0,0.0,0.0,0.0
wave_1,3,A0-X0,228,0.9133333333333334,0.9500000000000001,0.9500000000000001
wave_1,3,A0-XA,11,0.043333333333333335,0.049999999999999996,0.049999999999999996
wave_1,3,A0-XY,0,0.0,0.0,0.0
wave_1,3,AB-A0,0,0.0,0.0,0.0
wave_1,3,AB-AY,0,0.0,0.0,0.0
wave_1,3,AB-B0,5,0.016666666666666666,0.5533333333333333,0.5533333333333333
wave_1,3,AB-BA,0,0.0,0.0,0.0
wave_1,3,AB-BY,0,0.0,0.0,0.0
wave_1,3,AB-X0,6,0.023333333333333334,0.4466666666666667,0.4466666666666667
wave_1,3,AB-XA,0,0.0,0.0,0.0
wave_1,3,AB-XB,0,0.0,0.0,0.0
wave_1,3,AB-XY,0,0.0,0.0,0.0
wave_1,4,A0-AY,0,0.0,0.0,0.0
wave_1,4,A0-X0,98,0.53,0.6933333333333334,0.6933333333333334
wave_1,4,A0-XA,43,0.23666666666666666,0.30666666666666664,0.30666666666666664
wave_1,4,A0-XY,0,0.0,0.0,0.0
wave_1,4,AB-A0,1,0.006666666666666667,0.023333333333333334,0.0
wave_1,4,AB-AY,0,0.0,0.0,0.0
wave_1,4,AB-B0,33,0.17666666666666667,0.73,0.75
wave_1,4,AB-BA,0,0.0,0.0,0.0
wave_1,4,AB-BY,0,0.0,0.0,0.0
wave_1,4,AB-X0,9,0.049999999999999996,0.21666666666666667,0.22333333333333336
wave_1,4,AB-XA,1,0.006666666666666667,0.02666666666666667,0.02666666666666667
