legislature,segment,pshift,frequency_wave_1,frequency_wave_2,frequency_diff,probability_wave_1,probability_wave_2,probability_diff,p_s_given_d_c_diff,p_s_given_d_c_wave_1,p_s_given_d_c_wave_2,p_s_given_d_diff,p_s_given_d_wave_1,p_s_given_d_wave_2
1,1,A0-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,A0-X0,56,41,-15,0.68,0.51,-0.17000000000000004,-0.13,0.81,0.68,-0.13,0.81,0.68
1,1,A0-XA,13,19,6,0.16,0.24,0.07999999999999999,0.13,0.19,0.32,0.13,0.19,0.32
1,1,A0-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,AB-A0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,AB-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,AB-B0,12,15,3,0.15,0.19,0.04000000000000001,-0.17000000000000004,0.92,0.75,-0.17000000000000004,0.92,0.75
1,1,AB-BA,0,2,2,0.0,0.02,0.02,0.1,0.0,0.1,0.1,0.0,0.1
1,1,AB-BY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,AB-X0,1,2,1,0.01,0.02,0.01,0.020000000000000004,0.08,0.1,0.020000000000000004,0.08,0.1
1,1,AB-XA,0,1,1,0.0,0.01,0.01,0.05,0.0,0.05,0.05,0.0,0.05
1,1,AB-XB,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,AB-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,A0-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,A0-X0,45,50,5,0.54,0.62,0.07999999999999996,0.07000000000000006,0.7,0.77,0.07000000000000006,0.7,0.77
1,2,A0-XA,19,15,-4,0.23,0.19,-0.04000000000000001,-0.06999999999999998,0.3,0.23,-0.06999999999999998,0.3,0.23
1,2,A0-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,AB-A0,3,0,-3,0.04,0.0,-0.04,0.0,0.0,0.0,-0.16,0.16,0.0
1,2,AB-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,AB-B0,14,8,-6,0.17,0.1,-0.07,-0.38,0.88,0.5,-0.24,0.74,0.5
1,2,AB-BA,0,1,1,0.0,0.01,0.01,0.06,0.0,0.06,0.06,0.0,0.06
1,2,AB-BY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,AB-X0,2,6,4,0.02,0.07,0.05,0.26,0.12,0.38,0.27,0.11,0.38
1,2,AB-XA,0,1,1,0.0,0.01,0.01,0.06,0.0,0.06,0.06,0.0,0.06
1,2,AB-XB,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,AB-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,A0-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,A0-X0,56,51,-5,0.67,0.63,-0.040000000000000036,-0.020000000000000018,0.8,0.78,-0.020000000000000018,0.8,0.78
1,3,A0-XA,14,14,0,0.17,0.17,0.0,0.01999999999999999,0.2,0.22,0.01999999999999999,0.2,0.22
1,3,A0-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,AB-A0,1,0,-1,0.01,0.0,-0.01,0.0,0.0,0.0,-0.07,0.07,0.0
1,3,AB-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,AB-B0,11,2,-9,0.13,0.02,-0.11,-0.73,0.85,0.12,-0.67,0.79,0.12
1,3,AB-BA,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,AB-BY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,AB-X0,2,11,9,0.02,0.14,0.12000000000000001,0.5399999999999999,0.15,0.69,0.5499999999999999,0.14,0.69
1,3,AB-XA,0,3,3,0.0,0.04,0.04,0.19,0.0,0.19,0.19,0.0,0.19
1,3,AB-XB,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,AB-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,A0-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,A0-X0,54,7,-47,0.68,0.09,-0.5900000000000001,-0.47,0.82,0.35,-0.47,0.82,0.35
2,1,A0-XA,12,13,1,0.15,0.16,0.010000000000000009,0.47000000000000003,0.18,0.65,0.47000000000000003,0.18,0.65
2,1,A0-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,AB-A0,2,0,-2,0.02,0.0,-0.02,0.0,0.0,0.0,-0.14,0.14,0.0
2,1,AB-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,AB-B0,6,8,2,0.08,0.1,0.020000000000000004,-0.37,0.5,0.13,-0.3,0.43,0.13
2,1,AB-BA,0,33,33,0.0,0.41,0.41,0.54,0.0,0.54,0.54,0.0,0.54
2,1,AB-BY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,AB-X0,5,6,1,0.06,0.07,0.010000000000000009,-0.31999999999999995,0.42,0.1,-0.26,0.36,0.1
2,1,AB-XA,1,14,13,0.01,0.17,0.16,0.15000000000000002,0.08,0.23,0.16,0.07,0.23
2,1,AB-XB,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,AB-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,A0-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,A0-X0,52,4,-48,0.63,0.05,-0.58,-0.56,0.76,0.2,-0.56,0.76,0.2
2,2,A0-XA,16,16,0,0.2,0.19,-0.010000000000000009,0.56,0.24,0.8,0.56,0.24,0.8
2,2,A0-XY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,AB-A0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,AB-AY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,AB-B0,11,12,1,0.13,0.14,0.010000000000000009,-0.6000000000000001,0.79,0.19,-0.6000000000000001,0.79,0.19
2,2,AB-BA,0,32,32,0.0,0.39,0.39,0.51,0.0,0.51,0.51,0.0,0.51
2,2,AB-BY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,AB-X0,3,8,5,0.04,0.1,0.060000000000000005,-0.07999999999999999,0.21,0.13,-0.07999999999999999,0.21,0.13
2,2,AB-XA,0,11,11,0.0,0.13,0.13,0.17,0.0,0.17,0.17,0.0,0.17
