Pshift,Frequency,Probability,P(S|D),"P(S|D,C)",Change of Speaker (C),Directed Remark (D)
A0-XA,24,0.26,0.57,0.57,True,False
A0-X0,18,0.19,0.43,0.43,True,False
A0-XY,0,0.0,0.0,0.0,True,False
A0-AY,0,0.0,0.0,,False,False
AB-BA,12,0.13,0.23,0.23,True,True
AB-B0,17,0.18,0.33,0.33,True,True
AB-X0,13,0.14,0.25,0.25,True,True
AB-XA,10,0.11,0.19,0.19,True,True
AB-XB,0,0.0,0.0,0.0,True,True
AB-A0,0,0.0,0.0,,False,True
AB-BY,0,0.0,0.0,0.0,True,True
AB-XY,0,0.0,0.0,0.0,True,True
AB-AY,0,0.0,0.0,,False,True
