utterance_id	speaker_id	target_id	reply_to_id	utterance
1	P00001	P00002		Srs. Deputados, temos quórum, pelo que declaro aberta a sessão. Eram 10 horas e 45 minutos. Estavam presentes os seguintes Srs. Deputados: Partido Socialista (PS): Abílio Aleixo Curto. Acácio Manuel de Frias Barreiros. Agostinho de Jesus Domingues. Alberto Manuel Avelino. Américo Albino da Silva Salteiro. António Cândido Miranda Macedo. António da Costa. António Domingues Azevedo. António Frederico Vieira de Moura. António Jorge Duarte Rebelo de Sousa. António José Santos Meira. Avelino Feleciano Martins Rodrigues. Beatriz Almeida Cal Brandão. Bento Gonçalves da Cruz. Carlos Augusto Coelho Pires. Carlos Cardoso Lage. Carlos Justino Luis Cordeiro. Dinis Manuel Pedro Alves. Edmundo Pedro. Eurico José Palheiros Carvalho Figueiredo. Ferdinando Lourenço Gouveia. Fernando Alberto Pereira de Sousa. Fernando Fradinho Lopes. Francisco Augusto Sá Morais Rodrigues. Francisco Igrejas Caeiro. Francisco José Fernandes Leal. Francisco Lima Monteiro. Francisco Manuel Marcelo Curto. Frederico Augusto Handel de Oliveira. Gaspar Miranda Teixeira. Gil da Conceição Palmeiro Romão. Henrique Aureliano Vieira Gomes. Hermínio Martins de Oliveira. João de Almeida Eliseu. João Eduardo Coelho Ferraz de Abreu. João do Nascimento Gama Guerra. Joaquim José Catanho de Menezes. Joaquim Manuel Ribeiro Arenga. Joel Maria da Silva Ferro. Jorge Alberto Santos Correia. Jorge Lacão Costa. Jorge Manuel Aparício Ferreira Miranda. José de Almeida Valente. José António Borja dos Reis Borges. José Augusto Filio! Guimarães. José Carlos Pinto Basto Torres. José da Cunha e Sá. José Ferreira Pires Gestosa.
2	P00001	P00002		Srs. Deputados, continua em discussão o artigo 174.º Para uma interpelação à Mesa, tem a palavra o Sr. Deputado Jorge Lemos.
3	P00008	P00002		Sr. Presidente, queria anunciar aos colegas que, como ontem nos tínhamos comprometido, entregámos na Mesa um conjunto de propostas relativas aos artigos 174.º e seguintes. Já tive oportunidade de distribuir algumas cópias por algumas bancadas, mas não o fiz relativamente a todas pois não estavam ainda presentes.
4	P00001	P00002		Sr. Deputado Jorge Lemos, não tenho conhecimento de nenhuma proposta relativa ao artigo 174.º, mas sim só a partir do artigo 175.º
5	P00008	P00002		Sr. Presidente, efectivamente é a partir do artigo 175.º
6	P00001	P00002		Há uma questão relativamente à qual não sei qual será o entendimento: se terminaremos a discussão do artigo 174.º ou se continuamos até ao 178.º Pausa. Está, pois, em discussão o artigo 174.º Tem a palavra o Sr. Deputado Jorge Lemos.
7	P00008	P00002		Sr. Presidente, uma curtíssima intervenção para dizer que o artigo 174.º corresponde ao espírito da Constituição quanto aos mecanismos que têm de ser adoptados em termos da Assembleia da República para dar resposta ao pedido de declaração do estado de sítio ou do estado de emergência.
8	P00001	P00002		Tem a palavra o Sr. Deputado Vilhena de Carvalho.
9	P00034	P00002		Sr. Presidente, antes de se proceder à votação do artigo 174.º, pretendia fazer uma interpelação aos autores da proposta relativamente a esse artigo, no seguinte sentido: o artigo 174.º reporta-se apenas à apresentação, por parte do Presidente da República, da mensagem respeitante à declaração do estado de sítio e do estado de emergência. Ora, a verdade é que pode ser presente à Assembleia da República uma mensagem que tenha em vista não apenas a declaração do estado de sítio e do estado de emergência mas também a da sua renovação ou da modificação da extensão das providências a adoptar. Sendo, pois, esses os 3 casos possíveis de apreciação por parte da Assembleia da República, perguntaria se os autores da proposta não achariam melhor que no artigo 174.º, onde se fala da declaração do estado de sítio e do estado de emergência, se acrescentassem também as situações que acabei de referir, quais sejam as da renovação da declaração ou da modificação da extensão das providências a adoptar. A questão também se poderia solucionar fazendo uma remessa para a Constituição não apenas dos artigos 138.º e 141.º, que consta da proposta, mas fazendo incluir ainda o artigo 19.º da Constituição, porque se se incluir este artigo já poderá, de algum modo, ficar aberta a situação que acabei de descrever. Era este o meu pedido de esclarecimento.
10	P00001	P00002		O Sr. Deputado Vilhena de Carvalho fez uma intervenção que contém um pedido de esclarecimento. Algum Sr. Deputado deseja responder? Tem a palavra a Sra. Deputada Margarida Salema.
11	P00102	P00002		Sr. Deputado Vilhena de Carvalho, acabei de chegar mas, se bem entendi, da sua intervenção resulta a necessidade de incluir nesta disposição a possibilidade de renovação prevista no n.º 3 do artigo 19.º da Constituição, segundo a qual a declaração de estado de sítio ou de estado de emergência é devidamente fundamentada e não pode prolongar-se para além de 15 dias, sem prejuízo de eventual renovação por períodos de igual limite ou com igual limite. Pergunto: na sua opinião, para cada renovação tem de haver um novo processo de autorização, dependendo das várias hipóteses possíveis? Pode suceder, por exemplo, que a declaração se mantenha tal e qual, mas apenas se trate de uma prorrogação da mesma declaração, ou pode suceder que a declaração, ela própria, seja alterada quanto ao seu conteúdo, por exemplo, restringindo-se menos direitos do que aqueles que ab initio eram restringidos, e por aí adiante. Perguntar-lhe-ia, para possibilitar o debate acerca daquilo que referiu, se não entende que, havendo renovação, se podem verificar várias hipóteses da mesma, se, portanto, não deveríamos rever essas várias hipóteses ou, se, pura e simplesmente, fazemos uma remissão no artigo 174.º para o artigo 19.º, partindo do princípio de que se o Presidente da República entender fazer renovação da declaração por mais de 15 dias, e assim sucessivamente, deve introduzir um processo de autorização na Assembleia da República.
12	P00001	P00002		Tem a palavra o Sr. Deputado Vilhena de Carvalho.
13	P00034	P00002		Sr.ª Deputada, já que me interpela, diria que, pela minha parte, me bastaria a referência ao artigo 19.º da Constituição, mas gostaria que tivesse ficado registado - e foi essa preocupação que me levou a intervir - que se se tratar de uma renovação com modificação de providências que tornem mais alargado o cerceamento dos direitos naturalmente que terá de haver uma nova apreciação. Já não sou dessa opinião para o caso de haver, em vez de um alargamento, um estreitamento do cerceamento dos poderes.
14	P00102	P00002		Dá-me licença, Sr. Deputado?
15	P00034	P00002		Faça favor, Sr.ª Deputada.
16	P00102	P00002		Obrigado, Sr. Deputado. A intervenção é apenas para tentar clarificar esta matéria. Julgo que da nossa parte não haverá nenhuma objecção a que seja aqui incluída uma remissão para o artigo 19.º Relativamente às questões que coloquei e à opinião que o Sr. Deputado agora está a expender a propósito de cada uma das hipóteses possíveis quanto à renovação, creio que se trata de uma matéria que, obviamente, deve constar da lei relativa ao estado de sítio e ao estado de emergência e, portanto, penso que serei da sua opinião quanto a bastar, nesta sede, fazer uma remissão para o artigo 19.º e deixarmos para a lei os casos específicos em que se pode verificar a renovação. Mas, na generalidade, estou de acordo com as considerações que expendeu.
17	P00034	P00002		Reafirmo aquilo que já havia dito: que me bastaria a simples remessa para o artigo 19.º da Constituição.
18	P00001	P00002		Srs. Deputados, suponho que podemos considerar terminado o debate do artigo 174.º Tem a palavra a Sr.ª Deputada Margarida Salema.
19	P00102	P00002		Sr. Presidente, para não termos de formalizar uma alteração à proposta, se a Mesa pudesse incluir no n.º 1 a referência ao artigo 19.º da Constituição, resolveríamos de imediato a questão suscitada. Ficaria «Nos termos do artigo 19.º », e dos restantes artigos da Constituição que aqui estão mencionados.
20	P00001	P00002		Há consenso por parte das restantes bancadas para a introdução desta ligeira alteração? Pausa. Sr.ª Deputada Margarida Salema, podia fazer o favor de ditar a redacção?
21	P00102	P00002		Incluiríamos no n.º 1, onde se verifica a remissão para várias disposições da Constituição, a inclusão do artigo 19.º, no início. Portanto seria: «Nos termos do artigo 19.º, da alínea c) do artigo 137.º da Constituição».
22	P00001	P00002		Obrigado, Sr.ª Deputada. Tem a palavra o Sr. Deputado Jorge Lemos.
23	P00008	P00002		Sr. Presidente, para não estarmos a colocar a questão da evidente falta de quórum e para facilitar o andamento dos trabalhos sugeríamos que fôssemos discutindo os artigos relativos ao capítulo do estado de sítio e do estado de emergência e votaríamos em conjunto, no fim, quando já houvesse mais colegas para não termos de estar a interromper os nossos trabalhos.
24	P00001	P00002		Como parece haver consenso nesse sentido, podemos continuar. Srs. Deputados, vamos passar à discussão do artigo 175.º Vai ser lida a proposta de substituição, conforme o texto da Comissão. Foi lida. É a seguinte: ARTIGO 175.º (Debate) 1 - O debate tem por base a mensagem do Presidente da República que fundamente o pedido de autorização da declaração do estado de sítio ou do estado de emergência. 2 - O debate não pode exceder um dia e nele têm direito a intervir, prioritariamente, o Primeiro-Ministro e um deputado de cada grupo ou agrupamento parlamentar. 3 - A requerimento do Governo ou de um grupo ou agrupamento parlamentar, o debate pode ser encerrado logo que um deputado de cada partido tenha intervindo.
25	P00001	P00002		Vai ser lida a proposta de aditamento de uma expressão ao n.º 2, subscrita pelo Grupo Parlamentar do PCP. Foi lida. É a seguinte: 2 - por tempo não superior a meia hora cada um.
26	P00001	P00002		Tem a palavra o Sr. Deputado Jorge Lemos.
27	P00008	P00002		Sr. Presidente, quero comunicar à Mesa que vamos apresentar uma proposta de aditamento de outro teor relativa a este número, uma vez que chegámos a um consenso, pelo menos com o PS, e creio que também com as restantes bancadas, no sentido de dar mais tempo ao Sr. Primeiro-Ministro. Mas irei fazê-la chegar à Mesa.
28	P00001	P00002		Há uma proposta de alteração, também do PCP, em relação ao n.º 1 do artigo 175.º, que vai ser lida. Foi lida. É a seguinte: 1 - O debate tem por base a mensagem do Presidente da República, que, nos termos do artigo 19.º da Constituição, constitui o pedido de autorização da declaração do estado de sítio ou do estado de emergência.
29	P00001	P00002		Sr. Deputado Jorge Lemos, não pode fazer chegar rapidamente à Mesa a nova proposta que anunciou há pouco?
30	P00008	P00002		Com certeza, Sr. Presidente.
31	P00001	P00002		Srs. Deputados vai ser lido o novo aditamento, apresentado pelo PCP, em substituição do anterior, relativo ao n.º 2 do artigo 175.º Foi lido. É o seguinte: 2 - O debate não pode exceder um dia e nele têm direito a intervir, prioritariamente, o Primeiro-Ministro, por uma hora, e um deputado de cada grupo parlamentar por 30 minutos cada um.
32	P00001	P00002		Podemos iniciar o debate de discussão das propostas de alteração ao artigo 175.º Tem a palavra, para uma intervenção, o Sr. Deputado Luís Saias.
33	P00103	P00002		A minha intervenção é apenas no sentido de manifestarmos o nosso acordo em relação à última formulação da proposta apresentada.
34	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema.
35	P00104	P00002		Sr. Presidente, da nossa parte também não há objecção à proposta apresentada. Entretanto, gostaria de levantar aqui uma questão, que talvez seja menor, mas que poderá contribuir para o aperfeiçoamento do texto. Reporta-se ao termo utilizado no n.º 1 do artigo 175.º, relativamente à mensagem do Presidente da República. Com efeito, a forma de comunicação entre o Presidente da República e Assembleia da República é a de «mensagem», mas, como no caso vertente, nada na Constituição - pelo menos, no artigo 19.º - se refere concretamente ao termo «mensagem» e, por outro lado, porque a votação da Assembleia que incide sobre o pedido de autorização toma a forma de lei, como teremos ocasião de ver adiante, pergunto se não deveríamos referir aqui, pura e simplesmente, o pedido de autorização da declaração do estado de sítio ou de emergência ou se não devemos mesmo referirmo-nos ao decreto. Recordo um pouco aquilo que consta actualmente do Regimento, onde se fala sempre em «decreto», a votação incide sempre sobre o decreto, etc... Pergunto, pois, se esse não será o termo mais apropriado.
36	P00001	P00002		Tem a palavra o Sr. Deputado Jorge Lemos.
37	P00008	P00002		"Sr. Presidente, penso que as questões levantadas pela Sr.» Deputada Margarida Salema têm razão de ser. Nós, no sentido de clarificar aquilo que não estava muito claro no n.º 1, substituíamos o termo «fundamente» pela expressão «constitui o pedido», e remetíamos para o preceito constitucional de modo que este n.º 1 ficasse claro. Mas, à partida, não teremos objecções a fazer às questões colocadas pela Sr."" Deputada e se quiser apresentar uma redacção no sentido do que acabou de dizer considerá-la-emos."
38	P00001	P00002		Tem a palavra o Sr. Deputado Vilhena de Carvalho.
39	P00034	P00002		Do nosso ponto de vista, o Presidente da Assembleia da República deverá solicitar à mesma o pedido de declaração do estado de sítio e do estado de emergência através de mensagem e que dessa mensagem devem constar os elementos essenciais que hão-de integrar a declaração. Isso não significa que a declaração do estado de sítio e do estado de emergência não assuma, de facto, a forma de decreto.
40	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema.
41	P00102	P00002		Sr. Presidente, eu não queria insistir, mas julgo que em outros locais se utiliza o termo «mensagem» quando não existe, da parte da Assembleia, uma votação específica sobre a mensagem do Presidente da República - estou-me a lembrar dos «vetos» e de outros institutos em que o Presidente comunica com a Assembleia por intermédio de «mensagem». Neste caso específico tenho algumas dúvidas, mas não vou insistir sobre isso na medida em que - e explicito um pouco mais o meu pensamento -, a «mensagem» é, no fundo, digamos assim, o «projecto-decreto» e, portanto, sobre ela vai incidir uma determinada votação, que, a meu ver, não pode consistir na alteração daquilo que consta da «mensagem» ou do «projecto-decreto», como lhe queiramos chamar. Daí a minha dúvida do termo utilizado, mas não vou insistir. Se a Assembleia entende que esta é a melhor forma de explicitar a questão no artigo 175.º eu retiro as minhas objecções.
42	P00001	P00002		Sr. Deputado José Manuel Mendes, tem a palavra.
43	P00105	P00002		A questão suscitada tem o seu interesse e podê-la-íamos debater, talvez um pouco academicamente, nesta sede. Penso que, de todo o modo, em comissão de redacção poderemos estudar com mais rigor a solução a dar ao problema. Entretanto, chamava a atenção para a circunstância de, segundo a redacção actual, que nos foi proposta pelo Sr. Deputado Luis Beiroco, depararmos com uma imprecisão, porquanto o pedido contido na mensagem do Sr. Presidente da República não dever ser apenas fundamentado; ele tem de ter outros elementos, outros requisitos, que são os constantes do artigo 19.º da Constituição da República, razão pela qual, fazendo intervir esse inciso na redacção que propusemos, tivemos de adaptar o verbo de «fundamente» para «constitui», assim dando, suponho eu, inteiro cabimento lógico àquilo que é a nossa sugestão e adequando-o melhor à normação constitucional.
44	P00001	P00002		Tem a palavra o Sr. Deputado Luis Saias.
45	P00106	P00002		Sr. Presidente, Srs. Deputados: Penso que a última formulação apresentada pelo PCP satisfaz inteiramente e respeita a norma constitucional.
46	P00001	P00002		Srs. Deputados, vai ser lido o artigo 176.º segundo o texto da Comissão. Foi lido. É o seguinte: A votação incide sobre a concessão de autorização.
47	P00001	P00002		Em relação a este artigo há uma proposta de aditamento subscrita por deputados do PCP, que vai ser lida. Foi lida. É a seguinte: 2 - A lei de declaração do estado de sítio ou do estado de emergência é votada pelo Plenário, na generalidade, na especialidade e em votação final global, independentemente de eventual exame em Comissão.
48	P00001	P00002		Estão em discussão. Tem a palavra o Sr. Deputado Jorge Lemos.
49	P00008	P00002		Sr. Presidente, Srs. Deputados: Não nos parece que a lei de declaração do estado de sítio deva ter um tratamento diferente dos restantes processos legislativos, mas cremos ser importante que fique registado no Regimento que tem de ser votada pelo Plenário na generalidade, na especialidade e em votação final global.
50	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema, para formular pedidos de esclarecimento.
51	P00102	P00002		Sr. Deputado Jorge Lemos, tenho muitas dúvidas sobre esta proposta de aditamento e gostaria que ficasse melhor especificada a ideia que lhe está subjacente. O Sr. Deputado disse que na lei de declaração do estado de sítio e do estado de emergência se aplicam as regras gerais do processo legislativo e, portanto, haveria um debate na generalidade e na especialidade ou, pelo menos, uma votação na generalidade e na especialidade e uma votação final global. Porém, tenho imensas dúvidas de que assim seja, porque a declaração do estado de sítio ou do estado de emergência não se assemelha, de modo nenhum, a um processo legislativo, uma vez que não há aqui iniciativa legislativa, mas sim um decreto, um pedido de autorização do Sr. Presidente da República que não tem nenhuma semelhança com propostas de lei ou projectos de lei. Além disso, tenho a maior das dúvidas em que no Regimento se possa estabelecer que haverá uma votação na generalidade e na especialidade que implica ou pode implicar alterações ao decreto ou à mensagem que é objecto de votação. Creio, pois, que não podemos caminhar nesse sentido porque se trata de uma matéria que deve ser regulada por lei da Assembleia e não pelo Regimento. O Sr. Deputado não acharia mais correcto que nesta matéria houvesse apenas uma debate e uma votação? Quanto a mim não se aplicariam aqui as regras gerais de que tem que haver um debate e uma votação na generalidade, na especialidade e uma votação final global. Diria apenas que haverá um debate e uma votação e depois a deliberação definitiva da Assembleia da República é que assume a forma de lei por aplicação do artigo 169.º da Constituição.
52	P00001	P00002		Tem a palavra o Sr. Deputado Jorge Lemos, para responder.
53	P00008	P00002		Sr.ª Deputada Margarida Salema, V. Ex.ª compreenderá que a escassez de tempo não me permitirá uma resposta muito longa. Em todo o caso, gostaria de dizer que creio ter ficado claro que a nossa proposta visa prever a possibilidade de haver alterações introduzidas durante o debate. Ora, essa situação só pode ser prevista com um inciso como o que propomos.
54	P00001	P00002		Tem a palavra a Sr.ª Deputada Margarida Salema.
55	P00102	P00002		Sr. Deputado Jorge Lemos, compreendo que V. Ex.ª não tenha tempo para dar mais explicações. Contudo, se bem atentar no que consta actualmente no Regimento, verificará que se prevê uma discussão na generalidade e na especialidade e não se prevê uma votação nem na especialidade nem na generalidade. Pode haver uma discussão genérica sobre o pedido de autorização e pode haver uma discussão específica, nomeadamente uma discussão que incida sobre cada um dos direitos cujo exercício é suspenso, mas tenho a maior das dúvidas que possamos aqui estabelecer a necessidade de uma votação na generalidade, na especialidade ou uma votação final global. Repare o Sr. Deputado que, de acordo com o artigo 176.º do Regimento, apenas se diz: «A votação incide sobre a concessão ou não da autorização.» Portanto, cabe à Assembleia apenas votar se dá ou não autorização ao Presidente da República para declarar o estado de sítio...
56	P00105	P00002		Dá-me licença que a interrompa, Sr.ª Deputada?
57	P00102	P00002		Faça favor, Sr. Deputado.
58	P00105	P00002		A Sr.ª Deputada Margarida Salema não admite que o decreto do Presidente da República em apreciação na Câmara possa ser sujeito, por parte dos senhores deputados, a alterações e, portanto, à aprovação da quase totalidade, mas à não aprovação de tal ou tal articulado? Ora, se esta possibilidade é real - uma vez que não pode negar-se tal procedimento a nenhum projecto de lei -, é ou não óbvio que a votação terá sempre de ocorrer nos termos em que a propomos?
