file,field,n_a1_a2,n_a1_llm,n_a2_llm,alpha_a1_a2,alpha_a1_llm,alpha_a2_llm,avg_alpha
1 - 01-2-022.json,joint,266,266,266,0.8061,0.5015,0.3882,0.5653
10 - 10-1-065.json,joint,310,310,310,0.9294,0.5211,0.5213,0.6573
11 - 11-1-076.json,joint,279,279,279,0.9600,0.6657,0.6816,0.7691
12 - 12-3-094.json,joint,277,277,277,0.9564,0.6025,0.6103,0.7231
13 - 13-1-009.json,joint,243,243,243,0.9504,0.5786,0.5966,0.7085
14 - 14-1-036.json,joint,248,248,248,0.9357,0.4374,0.4508,0.6080
2 - 02-2-024.json,joint,261,261,261,0.7648,0.4998,0.3877,0.5508
3 - 03-2-007.json,joint,276,276,276,0.8798,0.5261,0.4346,0.6135
4 - 04-1-018.json,joint,213,213,213,0.9042,0.5795,0.5412,0.6750
5 - 05-2-068.json,joint,234,234,234,0.9058,0.6513,0.6941,0.7504
6 - 06-3-010.json,joint,219,219,219,0.8756,0.7060,0.6863,0.7560
7 - 07-2-008.json,joint,292,292,292,0.8226,0.7094,0.6471,0.7263
8 - 08-1-004.json,joint,317,317,317,0.9634,0.4853,0.4818,0.6435
9 - 09-1-061.json,joint,385,385,385,0.8981,0.4852,0.4880,0.6238
MEAN,joint,,,,0.8966,0.5678,0.5435,0.6693
