file,field,n_a1_a2,n_a1_llm,n_a2_llm,alpha_a1_a2,alpha_a1_llm,alpha_a2_llm,avg_alpha
1 - 01-2-022.json,joint,266,266,266,0.8061,0.7241,0.6781,0.7361
10 - 10-1-065.json,joint,310,310,310,0.9294,0.7238,0.7072,0.7868
11 - 11-1-076.json,joint,279,279,279,0.9600,0.7844,0.7844,0.8430
12 - 12-3-094.json,joint,277,277,277,0.9564,0.9010,0.9287,0.9287
13 - 13-1-009.json,joint,243,243,243,0.9504,0.8465,0.8465,0.8811
14 - 14-1-036.json,joint,248,248,248,0.9357,0.8007,0.8007,0.8457
2 - 02-2-024.json,joint,261,261,261,0.7648,0.6813,0.7203,0.7222
3 - 03-2-007.json,joint,276,276,276,0.8798,0.7632,0.8688,0.8373
4 - 04-1-018.json,joint,213,213,213,0.9042,0.7296,0.6843,0.7727
5 - 05-2-068.json,joint,234,234,234,0.9058,0.7604,0.8146,0.8270
6 - 06-3-010.json,joint,219,219,219,0.8756,0.6913,0.7015,0.7561
7 - 07-2-008.json,joint,292,292,292,0.8226,0.7213,0.7330,0.7590
8 - 08-1-004.json,joint,317,317,317,0.9634,0.7700,0.7799,0.8377
9 - 09-1-061.json,joint,385,385,385,0.8981,0.7792,0.7655,0.8143
MEAN,joint,,,,0.8966,0.7626,0.7724,0.8105
